index,disease_name,care_guide,Possible Steps,
0,Apple___Apple_scab,Prune infected branches and apply fungicides.,"Choose resistant varieties when possible.
Rake under trees and destroy infected leaves to reduce the number of fungal spores available to start the disease cycle over again next spring.
Water in the evening or early morning hours (avoid overhead irrigation) to give the leaves time to dry out before infection can occur.
Spread a 3- to 6-inch layer of compost under trees, keeping it away from the trunk, to cover soil and prevent splash dispersal of the fungal spores.
For best control, spray liquid copper soap early, two weeks before symptoms normally appear. Alternatively, begin applications when disease first appears, and repeat at 7 to 10 day intervals up to blossom drop.",
1,Apple___Black_rot,Remove infected fruit and leaves; apply copper fungicide.,"Remove the cankers by pruning at least 15 inches below the end and burn or bury them. Also take preventative care with new season prunings and burn them, too.You are better off pruning during the dormant season. This will minimize the odds that fire blight will infect your tree and produce dead tissue that can easily be infected by Botryosphaeria.You should also take precautions if the bark is damaged by hail, or branches break during a windstorm. Using a copper-based fungicide will protect against both black rot and fire blight.",
2,Apple___Cedar_apple_rust,Plant resistant varieties; remove nearby junipers.,"Choose resistant cultivars when available.
Rake up and dispose of fallen leaves and other debris from under trees.
Remove galls from infected junipers. In some cases, juniper plants should be removed entirely.
Apply preventative, disease-fighting fungicides labeled for use on apples weekly, starting with bud break, to protect trees from spores being released by the juniper host. This occurs only once per year, so additional applications after this springtime spread are not necessary.
On juniper, rust can be controlled by spraying plants with a copper solution (0.5 to 2.0 oz/ gallon of water) at least four times between late August and late October.
Safely treat most fungal and bacterial diseases with SERENADE Garden. This broad spectrum bio-fungicide uses a patented strain of Bacillus subtilis that is registered for organic use. Best of all, SERENADE is completely non-toxic to honey bees and beneficial insects.",
3,Apple___healthy,Maintain good air circulation and regular inspections.,"Apples Are Nutritious. 
Apples May Be Good for Weight Loss.
Apples May Be Good for Your Heart. 
They're Linked to a Lower Risk of Diabetes. 
They May Have Prebiotic Effects and Promote Good Gut Bacteria.
Substances in Apples May Help Prevent Cancer.",
4,Background_without_leaves,Not applicable.,please reupload image with leaf,
5,Blueberry___healthy,Ensure proper soil acidity and watering.,"Deep, low pH mulch like peat moss, pine needles or well aged sawdust conserves water and minimizes soil water fluctuations. Water blueberry plants during the day. Keep the soil moist but not soggy. Give them at least 1"" per week during growing season and up to 4"" per week during fruit ripening.The blueberry is a shallow-rooted plant. Therefore, it requires a soil that holds moisture, but also drains well and doesn’t stay wet. Don’t plant blueberries in sites that have heavy, clayey soils that stay wet.",
6,Cherry___Powdery_mildew,Use sulfur-based sprays; ensure good airflow.,"Disinfect the cutting edges, then prune out and discard the diseased portions of the plant immediately. At the same time, apply fungicides to protect the remaining leaves on the fruit tree. You'll need to repeat the fungicide applications according to label instructions to protect the trees over the entire season.",
7,Cherry___healthy,Regular pruning and proper watering.,"Packed with nutrients.
Rich in antioxidants and anti-inflammatory compounds.
Can boost exercise recovery.
May benefit heart health.
May improve symptoms of arthritis and gout.
May improve sleep quality.
Easy to add to your diet.",
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,Rotate crops and use resistant varieties.,"Irrigate deeply, but infrequently.
Avoid using post-emergent weed killers on the lawn while the disease is active.
Avoid medium to high nitrogen fertilizer levels.
Improve air circulation and light level on lawn.
Mow at the proper height and only mow when the grass is dry.",
9,Corn___Common_rust,Apply fungicides and plant resistant hybrids.,"To reduce the incidence of corn rust, plant only corn that has resistance to the fungus. Resistance is either in the form of race-specific resistance or partial rust resistance. In either case, no sweet corn is completely resistant. If the corn begins to show symptoms of infection, immediately spray with a fungicide.",
10,Corn___Northern_Leaf_Blight,Use resistant varieties and proper field management.,"Fungicide applications reduced Northern Corn Leaf Blight damage and protected yield. Fungicide value was higher in reducing yield in susceptible corn hybrids. Fungicide were most effective if they were applied at disease onset. Disease onset varied in growth stages, and so the best stage to apply fungicides.",
11,Corn___healthy,Monitor for pests and maintain soil fertility.,"Corn has several health benefits. Because of the high fiber content, it can aid with digestion. It also contains valuable B vitamins, which are important to your overall health. Corn also provides our bodies with essential minerals such as zinc, magnesium, copper, iron and manganese.",
12,Grape___Black_rot,Remove infected leaves and apply fungicides.,Mancozeb is available as BONIDE MANCOZEB FLOWABLE fungicide. It contains 37% Mancozeb and should be very effective for controlling black rot. Nova (myclobutanil) is available in IMMUNOX FUNGICIDE. It is 1.55 % myclobutanil and should be effective for controlling black rot.,
13,Grape___Esca_(Black_Measles),Prune affected vines and apply fungicides.,"Till date there is no effective method to control this disease. Remove the infected berries, leaves and trunk and destroy them. Protect the prune wounds to minimize fungal infection using wound sealant (5% boric acid in acrylic paint) or essential oil or suitable fungicides.",
14,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Ensure good ventilation and apply fungicides.,"Apply dormant sprays to reduce inoculum levels.
Cut it out. 
Open up that canopy.
Don't let down your defenses.
Scout early, scout often.
Use protectant and systemic fungicides.
Consider fungicide resistance.
Watch the weather.",
15,Grape___healthy,Regular pruning and disease monitoring.,"Packed With Nutrients, Especially Vitamins C and K.
High Antioxidant Contents May Prevent Chronic Diseases.
Plant Compounds May Protect Against Certain Types of Cancer. 
Beneficial for Heart Health in Various Impressive Ways.
May Decrease Blood Sugar Levels and Protect Against Diabetes.",
16,Orange___Haunglongbing_(Citrus_greening),Remove infected trees and control psyllid insects.,"The only way to prevent the spread of Citrus Greening Disease is to control ACP(Asian Citrus Psyllid). Since citrus is such a popular and widely-planted garden tree, homeowners are on the front lines of this important battle.Spray the lemon tree with Neem oil insecticide, both the top and undersides of the foliage. You may need to repeat in 10-14 days, depending upon the extent of the infestation. Follow up by treating the mold growth with liquid copper fungicide.",
